,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2840,Hyundai Verna 1.6 SX VTVT (O),2013,66930,Petrol,Manual,First,17.1 kmpl,1591 CC,,5,6150
4919,Hyundai Verna 1.6 SX VTVT (O),2017,19387,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5,8420
1002,Hyundai Verna 1.6 SX VTVT (O) AT,2012,54957,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5,5370
3395,Hyundai Verna 1.6 SX VTVT (O) AT,2012,36300,Petrol,Automatic,Third,17.1 kmpl,1591 CC,121.4 bhp,5,7500
1210,Hyundai Verna 1.6 SX VTVT (O) AT,2017,16100,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5,11600
4004,Hyundai Verna 1.6 SX VTVT (O) AT,2013,44000,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5,5600
5187,Hyundai Verna 1.6 SX VTVT AT,2014,48656,Petrol,Automatic,First,15.74 kmpl,1591 CC,121.3 bhp,5,5500
1684,Hyundai Verna 1.6 SX VTVT AT,2014,34200,Petrol,Automatic,First,15.74 kmpl,1591 CC,121.3 bhp,5,6500
3743,Hyundai Verna 1.6 SX VTVT AT,2014,45000,Petrol,Automatic,First,15.74 kmpl,1591 CC,121.3 bhp,5,7500
2350,Hyundai Verna 1.6 VTVT,2012,73000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,5500
3042,Hyundai Verna 1.6 VTVT,2011,36226,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,2950
2412,Hyundai Verna 1.6 VTVT,2012,24000,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5,6200
3135,Hyundai Verna 1.6 VTVT,2013,34620,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5,5350
705,Hyundai Verna 1.6 VTVT,2017,37688,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,7880
2421,Hyundai Verna 1.6 VTVT,2011,68000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,3700
5616,Hyundai Verna 1.6 VTVT,2013,70000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,4750
3983,Hyundai Verna 1.6 VTVT AT SX,2018,33858,Petrol,Automatic,First,17.01 kmpl,1591 CC,121.3 bhp,5,9030
1453,Hyundai Verna 1.6 VTVT EX AT,2014,35642,Petrol,Automatic,First,17.01 kmpl,1591 CC,121.4 bhp,5,6690
1448,Hyundai Verna 1.6 VTVT S,2015,89000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,7500
3090,Hyundai Verna CRDi,2010,72010,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,4450
5661,Hyundai Verna CRDi,2009,64514,Diesel,Manual,First,,1493 CC,110 bhp,5,2900
5802,Hyundai Verna CRDi,2006,200000,Diesel,Manual,Second,16.8 kmpl,1493 CC,110 bhp,5,1850
2726,Hyundai Verna CRDi,2011,70000,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,5100
3778,Hyundai Verna CRDi,2008,90000,Diesel,Manual,Second,16.8 kmpl,1493 CC,110 bhp,5,2250
1313,Hyundai Verna CRDi 1.4 E,2008,121097,Diesel,Manual,Second,24.0 kmpl,1396 CC,88.76 bhp,5,1900
1188,Hyundai Verna CRDi 1.6 AT SX Option,2013,87000,Diesel,Automatic,First,22.0 kmpl,1582 CC,126.2 bhp,5,5900
5188,Hyundai Verna CRDi 1.6 AT SX Plus,2012,79000,Diesel,Automatic,First,22.0 kmpl,1582 CC,126.2 bhp,5,5250
1369,Hyundai Verna CRDi 1.6 SX,2008,96578,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,2500
261,Hyundai Verna CRDi 1.6 SX,2008,143275,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,2600
4973,Hyundai Verna CRDi 1.6 SX Option,2008,109606,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,2900
2607,Hyundai Verna CRDi 1.6 SX Option,2017,50000,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,11500
122,Hyundai Verna CRDi 1.6 SX Option,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,10950
2508,Hyundai Verna CRDi ABS,2008,120000,Diesel,Manual,Second,18.1 kmpl,1493 CC,110 bhp,5,2000
4437,Hyundai Verna CRDi ABS,2009,160000,Diesel,Manual,Second,18.1 kmpl,1493 CC,110 bhp,5,3500
1102,Hyundai Verna CRDi SX,2012,94900,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,5350
4546,Hyundai Verna CRDi SX,2013,79663,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,6500
949,Hyundai Verna CRDi SX,2013,82966,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,7200
664,Hyundai Verna CRDi SX,2008,170000,Diesel,Manual,Second,16.8 kmpl,1493 CC,110 bhp,5,1500
1411,Hyundai Verna CRDi SX,2013,75000,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,6000
3053,Hyundai Verna CRDi SX ABS,2008,150000,Diesel,Manual,First,18.1 kmpl,1493 CC,110 bhp,5,3000
3227,Hyundai Verna SX CRDi AT,2011,104000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.32 bhp,5,5750
5565,Hyundai Verna SX CRDi AT,2012,97000,Diesel,Automatic,Second,19.08 kmpl,1582 CC,126.32 bhp,5,6500
3704,Hyundai Verna SX CRDi AT,2013,51000,Diesel,Automatic,First,,1582 CC,126.32 bhp,5,5640
5669,Hyundai Verna SX CRDi AT,2014,65000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.32 bhp,5,8990
4789,Hyundai Verna SX CRDi AT,2012,41000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.32 bhp,5,6250
2080,Hyundai Verna SX CRDi AT,2014,71000,Diesel,Automatic,Second,19.08 kmpl,1582 CC,126.32 bhp,5,5450
4632,Hyundai Verna SX CRDi AT,2012,83000,Diesel,Automatic,First,19.08 kmpl,1582 CC,126.32 bhp,5,6000
3304,Hyundai Verna Transform CRDi VGT SX ABS,2010,120000,Diesel,Manual,Second,16.2 kmpl,1493 CC,110 bhp,5,3500
97,Hyundai Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,3450
3394,Hyundai Verna Transform SX VGT CRDi,2010,118077,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,3850
2628,Hyundai Verna Transform SX VTVT,2011,61000,Petrol,Manual,Second,16.2 kmpl,1599 CC,103.2 bhp,5,3400
3643,Hyundai Verna Transform VTVT,2011,51500,Petrol,Manual,Second,16.2 kmpl,1599 CC,103.2 bhp,5,2600
729,Hyundai Verna Transform VTVT,2010,51000,Petrol,Manual,First,16.2 kmpl,1599 CC,103.2 bhp,5,3100
388,Hyundai Verna Transform VTVT,2010,95000,Petrol,Manual,First,16.2 kmpl,1599 CC,103.2 bhp,5,2500
4289,Hyundai Verna Transform Xxi ABS,2011,60000,Petrol,Manual,First,16.2 kmpl,1599 CC,103.2 bhp,5,3950
3635,Hyundai Verna VTVT 1.6 AT EX,2013,37086,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,5440
1187,Hyundai Verna VTVT 1.6 AT SX Option,2015,40600,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,7200
5964,Hyundai Verna VTVT 1.6 AT SX Option,2018,8000,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,12850
135,Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,11500
5631,Hyundai Verna VTVT 1.6 AT SX Plus,2012,75059,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,4250
3841,Hyundai Verna VTVT 1.6 SX,2018,5000,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5,8700
4220,Hyundai Verna VTVT 1.6 SX,2014,46676,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5,7750
3845,Hyundai Verna VTVT 1.6 SX,2012,32542,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5,5770
4729,Hyundai Verna Xi (Petrol),2009,60000,Petrol,Manual,Third,13.9 kmpl,1599 CC,103.2 bhp,5,2250
5454,Hyundai Verna Xi (Petrol),2009,137148,Petrol,Manual,Second,13.9 kmpl,1599 CC,103.2 bhp,5,1850
5250,Hyundai Verna XXi ABS (Petrol),2008,38000,Petrol,Manual,Second,13.9 kmpl,1599 CC,103.2 bhp,5,2600
3658,Hyundai Xcent 1.1 CRDi Base,2016,106092,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,4400
381,Hyundai Xcent 1.1 CRDi Base,2015,74310,Diesel,Manual,First,24.4 kmpl,1120 CC,,5,4000
5354,Hyundai Xcent 1.1 CRDi Base,2016,76000,Diesel,Manual,First,,1120 CC,71 bhp,5,3800
3663,Hyundai Xcent 1.1 CRDi Base,2017,73000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,4500
4874,Hyundai Xcent 1.1 CRDi Base,2017,82000,Diesel,Manual,First,24.4 kmpl,,71 bhp,5,3450
4564,Hyundai Xcent 1.1 CRDi Base,2014,60000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,3900
4864,Hyundai Xcent 1.1 CRDi S,2017,32257,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,6830
1810,Hyundai Xcent 1.1 CRDi S,2015,58000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,5500
4378,Hyundai Xcent 1.1 CRDi S,2016,29000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,5950
1033,Hyundai Xcent 1.1 CRDi S,2016,14656,Diesel,Manual,First,,1120 CC,,5,6990
3693,Hyundai Xcent 1.1 CRDi S,2016,63141,Diesel,Manual,Second,24.4 kmpl,1120 CC,71 bhp,5,4500
1042,Hyundai Xcent 1.1 CRDi S,2016,80000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,3500
462,Hyundai Xcent 1.1 CRDi S Celebration Edition,2016,51000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,5250
3497,Hyundai Xcent 1.1 CRDi S Option,2015,58000,Diesel,Manual,First,24.4 kmpl,1120 CC,71.01 bhp,5,4950
4913,Hyundai Xcent 1.1 CRDi SX,2014,58000,Diesel,Manual,Second,24.4 kmpl,1120 CC,71 bhp,5,3990
4480,Hyundai Xcent 1.1 CRDi SX Option,2014,65000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,6000
2452,Hyundai Xcent 1.2 CRDi E Plus,2017,69000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,3550
3647,Hyundai Xcent 1.2 CRDi E Plus,2017,60500,Diesel,Manual,First,25.4 kmpl,,73.97 bhp,5,5490
5451,Hyundai Xcent 1.2 CRDi S,2016,26000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,5000
869,Hyundai Xcent 1.2 CRDi S,2018,25302,Diesel,Manual,First,,1186 CC,73.97 bhp,5,5900
3052,Hyundai Xcent 1.2 CRDi S,2016,50000,Diesel,Manual,First,,1186 CC,73.97 bhp,5,3500
5359,Hyundai Xcent 1.2 CRDi S,2017,51000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,4200
4189,Hyundai Xcent 1.2 Kappa AT S Option,2014,69000,Petrol,Automatic,First,16.9 kmpl,1197 CC,81.86 bhp,5,5250
1774,Hyundai Xcent 1.2 Kappa AT S Option,2015,53000,Petrol,Automatic,Second,16.9 kmpl,1197 CC,81.86 bhp,5,4000
3353,Hyundai Xcent 1.2 Kappa AT SX Option,2015,59800,Petrol,Automatic,First,16.9 kmpl,1197 CC,82 bhp,5,5800
4736,Hyundai Xcent 1.2 Kappa AT SX Option,2015,41000,Petrol,Automatic,First,16.9 kmpl,1197 CC,82 bhp,5,5450
4514,Hyundai Xcent 1.2 Kappa AT SX Option,2016,45560,Petrol,Automatic,First,16.9 kmpl,1197 CC,82 bhp,5,6340
4717,Hyundai Xcent 1.2 Kappa Base,2015,23000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,4900
958,Hyundai Xcent 1.2 Kappa Base,2016,48163,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,4850
5257,Hyundai Xcent 1.2 Kappa S,2016,146000,Petrol,Manual,Second,19.1 kmpl,1197 CC,82 bhp,5,3500
614,Hyundai Xcent 1.2 Kappa S,2014,7400,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,4350
3678,Hyundai Xcent 1.2 Kappa S,2014,51000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,3850
4799,Hyundai Xcent 1.2 Kappa S,2015,45960,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,5560
3775,Hyundai Xcent 1.2 Kappa S,2014,12500,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,4150
638,Hyundai Xcent 1.2 Kappa S Option,2017,28360,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5,5120
2434,Hyundai Xcent 1.2 Kappa S Option,2014,42000,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5,3450
2427,Hyundai Xcent 1.2 Kappa S Option,2015,39871,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5,3500
5786,Hyundai Xcent 1.2 Kappa S Option,2014,52000,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5,3750
2353,Hyundai Xcent 1.2 Kappa S Option,2016,21495,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5,6160
1338,Hyundai Xcent 1.2 Kappa SX,2016,10200,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,4990
1166,Hyundai Xcent 1.2 Kappa SX,2016,32000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,3600
4724,Hyundai Xcent 1.2 VTVT E,2018,40000,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,5000
3598,Hyundai Xcent 1.2 VTVT E Plus,2018,31000,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,5000
2448,Hyundai Xcent 1.2 VTVT S,2015,65743,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,6200
1256,Hyundai Xcent 1.2 VTVT S,2014,54000,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,5500
1998,Hyundai Xcent 1.2 VTVT SX,2014,64241,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,3670
5979,ISUZU D-MAX V-Cross 4X4,2017,25000,Diesel,Manual,First,12.4 kmpl,2499 CC,134 bhp,5,8000
2900,Isuzu MUX 4WD,2017,34429,Diesel,Automatic,First,13.8 kmpl,2999 CC,174.57 bhp,7,20000
5919,Jaguar F Type 5.0 V8 S,2015,8000,Petrol,Automatic,First,12.5 kmpl,5000 CC,488.1 bhp,2,100000
1242,Jaguar XE 2.0L Diesel Prestige,2018,1000,Diesel,Automatic,First,13.6 kmpl,1999 CC,177 bhp,5,40000
355,Jaguar XF 2.0 Diesel Portfolio,2017,21000,Diesel,Automatic,First,19.33 kmpl,1999 CC,177 bhp,5,52000
4513,Jaguar XF 2.2 Litre Executive,2015,19000,Diesel,Automatic,Second,16.36 kmpl,2179 CC,187.7 bhp,5,38000
4003,Jaguar XF 2.2 Litre Luxury,2018,3000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,52500
4067,Jaguar XF 2.2 Litre Luxury,2015,50000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,38000
2161,Jaguar XF 2.2 Litre Luxury,2016,13418,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,33630
751,Jaguar XF 2.2 Litre Luxury,2016,47877,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,35680
2710,Jaguar XF 2.2 Litre Luxury,2014,55001,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,31000
864,Jaguar XF 2.2 Litre Luxury,2015,44194,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,32800
1037,Jaguar XF 2.2 Litre Luxury,2014,48000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,26500
566,Jaguar XF 2.2 Litre Luxury,2015,37340,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,29980
5996,Jaguar XF 2.2 Litre Luxury,2016,31150,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,30540
4648,Jaguar XF 2.2 Litre Luxury,2013,46000,Diesel,Automatic,Second,16.36 kmpl,2179 CC,187.7 bhp,5,24000
3148,Jaguar XF 2.2 Litre Luxury,2014,18000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,25700
2017,Jaguar XF 2.2 Litre Luxury,2013,31400,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,26750
2928,Jaguar XF 2.2 Litre Luxury,2014,43000,Diesel,Automatic,Second,16.36 kmpl,2179 CC,187.7 bhp,5,26500
5782,Jaguar XF 3.0 Litre S Premium Luxury,2012,35000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,29000
107,Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5,24000
3814,Jaguar XF 3.0 Litre S Premium Luxury,2014,30900,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,29500
1088,Jaguar XF 3.0 Litre S Premium Luxury,2012,29000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,20000
4420,Jaguar XF 3.0 Litre S Premium Luxury,2012,75668,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,16580
1151,Jaguar XF 3.0 Litre S Premium Luxury,2011,65000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,16000
2477,Jaguar XF 3.0 Litre S Premium Luxury,2015,47759,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,31800
4699,Jaguar XF Aero Sport Edition,2012,16000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,32000
4375,Jaguar XF Diesel,2012,94521,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,23190
407,Jaguar XF Diesel,2013,75000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,27950
3147,Jaguar XF Diesel,2016,55115,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,36150
3175,Jaguar XF Diesel,2014,82536,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,28630
939,Jaguar XF Diesel,2012,43510,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,20500
2907,Jaguar XJ 3.0L Portfolio,2015,26000,Diesel,Automatic,First,14.47 kmpl,2993 CC,301.73 bhp,5,75000
2422,Jaguar XJ 3.0L Portfolio,2016,12000,Diesel,Automatic,First,10.5 kmpl,2993 CC,271.23 bhp,4,79000
1039,Jeep Compass 1.4 Limited Option,2017,4000,Petrol,Automatic,First,16.0 kmpl,1368 CC,160 bhp,5,17750
568,Jeep Compass 2.0 Limited,2018,29000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,19000
3006,Jeep Compass 2.0 Limited,2018,16039,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,18500
940,Jeep Compass 2.0 Limited 4X4,2017,52000,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5,20000
3244,Jeep Compass 2.0 Limited Option 4X4,2017,15050,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5,17500
3544,Jeep Compass 2.0 Limited Option 4X4,2017,45000,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5,20000
1824,Jeep Compass 2.0 Limited Option Black,2017,7000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,17450
3943,Jeep Compass 2.0 Longitude,2018,26101,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,17550
3584,Jeep Compass 2.0 Longitude,2018,42203,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,19460
1991,Jeep Compass 2.0 Longitude,2018,28937,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,17020
2959,Jeep Compass 2.0 Sport,2017,37000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,16900
5781,Lamborghini Gallardo Coupe,2011,6500,Petrol,Automatic,Third,6.4 kmpl,5204 CC,560 bhp,2,120000
3839,Land Rover Discovery 3 TDV6 Diesel Automatic,2012,117236,Diesel,Automatic,Second,11.8 kmpl,2720 CC,190 bhp,7,14000
1299,Land Rover Discovery 4 TDV6 SE,2013,65000,Diesel,Automatic,Second,11.8 kmpl,2993 CC,180 bhp,7,34000
2178,Land Rover Discovery HSE Luxury 3.0 TD6,2017,35000,Diesel,Automatic,First,18.0 kmpl,2993 CC,255 bhp,7,41600
3540,Land Rover Discovery Sport SD4 HSE Luxury 7S,2016,62000,Diesel,Automatic,First,12.51 kmpl,2179 CC,187.7 bhp,7,44500
5067,Land Rover Discovery Sport SD4 HSE Luxury 7S,2019,17201,Diesel,Automatic,First,12.51 kmpl,2179 CC,187.7 bhp,7,58910
4058,Land Rover Discovery Sport TD4 HSE,2016,77000,Diesel,Automatic,First,12.63 kmpl,2179 CC,147.5 bhp,5,35000
3043,Land Rover Discovery Sport TD4 HSE,2019,25899,Diesel,Automatic,First,12.63 kmpl,2179 CC,147.5 bhp,5,55700
5038,Land Rover Discovery Sport TD4 HSE 7S,2019,24013,Diesel,Automatic,First,12.81 kmpl,1999 CC,148.31 bhp,7,56140
1568,Land Rover Discovery Sport TD4 HSE 7S,2017,40000,Diesel,Automatic,First,12.81 kmpl,1999 CC,148.31 bhp,7,41500
1204,Land Rover Freelander 2 HSE,2012,96000,Diesel,Automatic,First,12.35 kmpl,2179 CC,187.74 bhp,5,18980
4630,Land Rover Freelander 2 HSE,2011,82000,Diesel,Automatic,Second,12.35 kmpl,2179 CC,187.74 bhp,5,13900
3410,Land Rover Freelander 2 HSE SD4,2012,60000,Diesel,Automatic,Second,12.35 kmpl,2179 CC,187.74 bhp,5,23500
4701,Land Rover Freelander 2 SE,2014,85000,Diesel,Automatic,Second,12.39 kmpl,2179 CC,147.51 bhp,5,23000
4247,Land Rover Freelander 2 SE,2012,75000,Diesel,Automatic,Second,12.39 kmpl,2179 CC,147.51 bhp,5,17500
701,Land Rover Freelander 2 SE,2011,109000,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5,16500
4814,Land Rover Freelander 2 SE,2013,68000,Diesel,Automatic,Second,12.39 kmpl,2179 CC,147.51 bhp,5,15750
1988,Land Rover Freelander 2 SE,2012,34000,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5,19250
4466,Land Rover Freelander 2 SE,2014,61730,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5,19940
5530,Land Rover Freelander 2 SE,2014,59885,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5,20110
4801,Land Rover Freelander 2 SE,2011,68000,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5,22000
5016,Land Rover Freelander 2 TD4 HSE,2013,72000,Diesel,Automatic,First,0.0 kmpl,2179 CC,115 bhp,5,15500
1259,Land Rover Freelander 2 TD4 S,2010,125000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,11000
4687,Land Rover Freelander 2 TD4 SE,2012,119203,Diesel,Automatic,First,0.0 kmpl,2179 CC,115 bhp,5,16500
14,Land Rover Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,17500
5022,Land Rover Freelander 2 TD4 SE,2013,46000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,26000
399,Land Rover Range Rover 2.2L Dynamic,2012,56000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,30000
5382,Land Rover Range Rover 2.2L Prestige,2015,37000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,36000
2263,Land Rover Range Rover 2.2L Prestige,2014,64557,Diesel,Automatic,Second,12.7 kmpl,2179 CC,187.7 bhp,5,29930
404,Land Rover Range Rover 2.2L Prestige,2017,34990,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,53830
1513,Land Rover Range Rover 2.2L Pure,2014,56000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,34500
5411,Land Rover Range Rover 2.2L Pure,2014,38999,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,32500
410,Land Rover Range Rover 2.2L Pure,2014,95649,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,29670
749,Land Rover Range Rover 3.0 D,2008,55001,Diesel,Automatic,Second,0.0 kmpl,,,,26500
4152,Land Rover Range Rover 3.0 D,2003,75000,Diesel,Automatic,Second,0.0 kmpl,,,,16110
4079,Land Rover Range Rover 3.0 Diesel LWB Vogue,2017,25000,Diesel,Automatic,First,13.33 kmpl,2993 CC,255 bhp,5,160000
4869,Land Rover Range Rover 3.6 TDV8 Vogue SE,2012,84384,Diesel,Automatic,First,10.2 kmpl,4367 CC,308 bhp,7,52540
1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,2012,66538,Diesel,Automatic,First,10.2 kmpl,4367 CC,308 bhp,7,70000
4755,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2016,52000,Diesel,Automatic,First,15.68 kmpl,1999 CC,177 bhp,5,42000
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2018,31427,Diesel,Automatic,First,15.68 kmpl,1999 CC,177 bhp,5,59720
480,Land Rover Range Rover Evoque 2.0 TD4 Pure,2015,24000,Diesel,Automatic,Second,15.68 kmpl,1999 CC,177 bhp,5,33500
2139,Land Rover Range Rover Evoque 2.0 TD4 Pure,2016,29022,Diesel,Automatic,Second,15.68 kmpl,1999 CC,177 bhp,5,34080
521,Land Rover Range Rover HSE Dynamic,2017,49275,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,45640
311,Land Rover Range Rover HSE Dynamic,2017,44000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,44000
2924,Land Rover Range Rover HSE Dynamic,2018,41661,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,44830
2306,Land Rover Range Rover Sport 2005 2012 HSE,2010,45000,Diesel,Automatic,First,14.7 kmpl,2993 CC,241.4 bhp,6,40000
1460,Land Rover Range Rover Sport 2005 2012 Sport,2008,69078,Petrol,Manual,First,0.0 kmpl,,,,40880
3752,Land Rover Range Rover Sport HSE,2015,38467,Diesel,Automatic,First,12.65 kmpl,2993 CC,255 bhp,5,70660
5545,Land Rover Range Rover Sport SE,2014,47000,Diesel,Automatic,Second,12.65 kmpl,2993 CC,255 bhp,5,64750
1505,Land Rover Range Rover Sport SE,2019,26013,Diesel,Automatic,First,12.65 kmpl,2993 CC,255 bhp,5,97070
